abandon  vt.丢弃；放弃，抛弃
silly  a.傻的，愚蠢的
silver  n.银；银子；银器
similar  a.相似的，类似的
similarly  ad.类似地，相似地
simplicity  n.简单，简易；朴素
simplify  vt.简化，使单纯
simply  ad.简单地；朴素地
sincere  a.真诚的；真挚的
singular  a.单一的；非凡的
site  n.地点，地基；场所
sketch  n.略图；速写；概略
skilled  a.有技能的，熟练的
skillful  a.灵巧的，娴熟的
skim  vt.掠过，擦过；略读
slam  vt.使劲关，砰地放下
sleeve  n.袖子，袖套
slender  a.细长的；微薄的
slice  n.薄片，切片；部分
slide  vi.滑vt.使滑动n.滑

slippery  a.滑的，使人滑跤的
slit  n.裂缝vt.切开，撕开
slope  n.倾斜；斜面vi.倾斜
smart  a.巧妙的；洒脱的
soak  vt.浸，泡vi.浸泡
s?il  vt.弄脏vi.变脏
solar  a.太阳的，日光的
sole  n.脚底，鞋底，袜底
sole  a.单独的，唯一的
solemn  a.庄严的；隆重的
solid  a.固体的n.固体
soluble  a.可溶的；可以解决的
solution  n.解决，解答；溶解
solve  vt.解答，解释，解决
somebody  pron.某人，有人
somehow  ad.由于某种原因
sometime  ad.在某一时候；从前
somewhat  pron.一点儿ad.有点
sophisticated  a.老于世故的；高级的
sore  a.痛的；恼火的n.疮
sorrow  n.悲痛，悲哀，悲伤
sort  n.种类；类别vt.整理
sound  a.健康的；完好的
sour  a.酸的；脾气坏的

sow  vt.播(种) vi.播种
spacecraft  n.航天器，宇宙飞船
spade  n.铲，铁锹
span  n.跨距；一段时间
spare  vt.节约a.多余的
spark  n.火花， 火星
specialist  n.专家
specialize  vi.成为…专家；专攻
specific  a.特有的；具体的
specify  vi.指定，详细说明
specimen  n.样本，标本，样品
sphere  n.球，圆体；范围
spill  vt.使溢出vi.溢出
spin  vt.纺；使旋转n.旋转
spite  n. 恶意,怨恨,不顾vt. 刁难,欺侮
split  vt.劈开vi.被劈开
sp?il  vt.损坏，糟蹋；宠坏
sponsor  n.发起者vt.发起
sportsman  n.运动员
spray  n.浪花；喷雾vt.喷
spring  vi.跳，跃n.跳跃；泉
spur  n.刺激物vt.刺激
square  n.正方形；广场
squeeze  vt.&vi.榨，挤；压榨

stability  n.稳定，稳定性，巩固
stable  a.稳定的，不变的
stable  n.厩，马厩，牛棚
stack  n.堆，垛vt.堆积
staff  n.工作人员；参谋
stage  n.舞台；戏剧；阶段
stain  vt.沾污；给…着色
stair  n.楼梯
stake  n.桩；赌金；奖品
stale  n.陈腐的；走了气的
static  a.静的；静态的
statistical  a.统计的，统计学的
statue  n.塑像，雕像，铸像
status  n.地位，身分
steady  a.稳固的vt.使稳定
steam  n.蒸汽vi.蒸发vt.蒸
steamer  n.轮船，汽船
steel  n.钢，钢铁
steep  a.险峻的，陡峭的
steer  vt.&vi.驾驶
stem  n.茎，(树)干vi.起源
sticky  a.粘性的；胶粘的
stiff  a.硬的；僵直的
stimulate  vt.刺激，激励，激发

sting  vt.刺；刺痛vi.&n.刺
stir  vt.动；拨动；激动
stock  n.原料；库存品；股本
stocking  n.长(统)袜
stoop  vi.俯身；弯身n.弯腰
storage  n.贮藏；贮藏量
store  n.贮藏；贮存品；商店
storey  n.(层)楼
stove  n.炉，火炉，电炉
strain  vt.拉紧vi.尽力
strange  a.陌生的；奇怪的
stranger  n.陌生人；新来者
strap  n.带子vt.捆扎
strategy  n.战略；策略
straw  n.稻草，麦杆吸管
strengthen  vt.加强，巩固
stress  n.压力；重音vt.着重
stretch  vt.伸展vi.伸n.伸展
string  n.线，细绳；一串
strip  vt.剥；夺去n.条带
stripe  n.条纹，条子
stroke  n.打，击；鸣声；中风
stroke  vt.&n.抚，摩，捋
structural  a.结构的，构造的

stuff  n.材料vt.装，填，塞
submarine  a.水下的n.潜水艇
submerge  vt.浸没vi.潜入水中
submit  vt.使服从vi.服从
subsequent  a.随后的，后来的
substance  n.物质；实质；本旨
substantial  a.物质的；坚固的
substitute  n.代替人vt.用…代替
subtract  vt.减，减去，去掉
subway  n.地道；地下铁路
succession  n.连续；继任，继承
successive  a.连续的；接连的
suck  vt.吸，吮，啜；吸收
sufficient  a.足够的，充分的
suit  n.起拆，诉讼【其动词形式为sue】vt.适合
sulfur  n.硫(磺)，硫黄
sulphur  n.硫(磺)，硫黄
sum  n.总数；金额vi.共计
summarize  vt.概括，概述，总结
superficial  a.表面的；肤浅的
superior  a.较高的；优越的
supplement  n.&vt.增补，补充
suppose  vt.猜想；假定；让
supreme  a.最高的；最大的

surgery  n.外科，外科手术
surrender  vt.交出vi.投降
surroundings  n.周围的事物，环境
survey  vt.俯瞰；检查；测量
survive  vt.幸免于vi.活下来
suspect  vt.怀疑vi.疑心
suspend  vt.吊，悬；推迟
suspicion  n.怀疑，疑心，猜疑
suspicious   adj.怀疑的；可疑的
sustain  vt.支撑；供养；忍受
swallow  n.燕子
swallow  vt.&vi.吞下，咽下
sway  vi.摇动vt.摇；摇动
swear  vt.宣(誓) vi.诅咒
sweater  n.厚运动衫，毛线衫
sweep  vt.扫；刮起；扫过
swell  vi.膨胀；隆起；增长
swift  a.快的；反应快的
swing  vi.摇摆；回转n.摇摆
switch  n.开关；转换vt.转换
sword  n.剑，刀
symbol  n.象征；符号，记号
sympathetic  a.同情的；和谐的
sympathize  vi.同情；同感，共鸣

synthetic  a.综合的；合成的
systematic(al)  a.有系统的；有计划的
TTTTTTTT
tag  n.附加语；标签
tailor  n.裁缝vt.裁制衣服
tale  n.故事，传说
talent  n.天才；才能；人才
talk  vi.讲话vt.谈论
tame  a.驯服的；顺从的
tank  n.坦克；大容器，槽
tap  vt.&vi.&n.轻叩
tap  n.塞子；龙头vt.开发
taste  n.味觉，品味
technical  a.技术的，工艺的
technician  n.技术员，技师
tedious  a.冗长乏味的，沉闷的
telegram  n.电报
telescope  n.望远镜
temple  n.圣堂，神殿，庙宇
temporary  a.暂时的，临时的
tempt  vt.引诱，诱惑；吸引
temptation  n.诱惑，引诱

tend  vt.照管，照料，护理
tend  vi.走向，趋向；倾向
tendency  n.趋向，趋势，倾向
tender  a.嫩的；脆弱的
tense  n.时态，时
tense  a.拉紧的，绷紧的
tension  n. 紧张,不安,拉紧,张力
terminal  a.末端的n.末端
terrible  a.可怕的；极度的
territory  n.领土，版图；领域
terror  n.恐怖，惊骇
textile  n. 纺织品a.纺织的
theoretical  a.理论(上)的
thereby  ad.因此，从而，由此
therefore  ad.因此，所以【绝对不可以直接连接两个独立的句子】
thermometer  n.温度计，寒暑表
thickness  n.厚(度)；密(度)
thorough  a.彻底的；详尽的
thoughtful  a.沉思的；体贴的
thread  n.线；丝；螺纹；头绪
threat  n.威胁，恐吓，凶兆
threaten  vt.&vi.威胁，恐吓
thrive  vi.兴旺，繁荣，旺盛
throat  n.咽喉，喉咙；嗓音

throughout  prep.遍及ad.到处
thrust  vt.插，刺n.插；讽刺
thunder  n.雷vi.打雷vt.吼出
thus  ad.如此，这样；因而
tide  n.潮，潮汐；潮流
tidy  a.整洁的；整齐的
tin  n.锡；罐头
tip  vt.轻击vi.给小费
tire  vi.疲劳，累；厌倦
tissue  n.薄绢；薄纸；组织
toast  n.烤面包vt.烘，烤
toast  n.祝酒；祝酒词
toe  n.脚趾，足尖
t?ilet  n.厕所，盥洗室，浴室
tolerance  n.忍受，容忍；公差
tolerate  vt.忍受，容忍，宽恕
tone  n.音；腔调；声调
torch  n.火炬，火把；手电筒
torture  n.拷问；折磨vt.拷打
total  a.总的vi.合计，总共
touch  vt.触摸；触动；感动n.触
tough  a.坚韧的；健壮的
tour  n.&vi.旅行，游历
tourist  n.旅游者，观光者

towel  n.毛巾，手巾
tower  n.塔vi.屹立，高耸
trace  n.痕迹；丝毫vt.跟踪
track  n.行踪；路径；轨道
tractor  n.拖拉机；牵引车
trade  n.贸易；职业vi.交易
traffic  n.交通，通行；交通量
tragedy  n.悲剧；惨事，惨案
trail  n.痕迹；小径vt.跟踪
transfer  vt.转移；调动vi.转移
transform  vt.改变；改造；变换
transformation  n.变化；改造；转变
transformer  n.变压器，转换器
transistor  n.晶体管
transmission  n.传送；传动；发射
transmit  vt.传送，传达；发射
transparent  a.透明的；易识破的
transport  vt.运输n.运输
transportation  n.运输，运送，客运
trap  n.陷阱；诡计vt.诱骗
tray  n.(浅)盘，托盘，碟
treasure  n.财富；珍宝vt.珍视
treat  vt.对待；处理n.款待
treatment  n.待遇；治疗，疗法

treaty  n.条约；协议，协定
tremble  vi.发抖，哆嗦；摇动
tremendous  a.极大的，非常的
trend  vi.伸向；倾向n.倾向
trial  n.试，试验；审判
triangle  n.三角(形)
trick  n.诡计；窍门vt.哄骗
trim  a.整齐的vt.使整齐
triumph  n.凯旋；胜利vi.成功
troop  n.军队；一群，大量
tropical  a.热带的
troublesome  a.令人烦恼的；麻烦的
trumpet  n.喇叭，小号
trunk  n.树干；大衣箱，皮箱
trust  n.信任vt.相信；委托
truth  n.真理；真实；真实性
tube  n.管；电子管，显像管
tune  n.调子；和谐vt.调谐
tunnel  n.隧道，坑道，地道
turbine  n.叶轮机，汽轮机
twin  a.孪生的n.孪生儿
twist  vt.捻；拧vi.&n.扭弯
type  n.型，类型vi.打字
typewriter  n.打字机

typical  a.典型的，代表性的
typist  n.打字员
tyre  n.轮胎，车胎
UUUUUUUUU
ultimate  a.最后的，最终的
unconscious  a.不省人事的
uncover  vt.揭开…的盖子
undergo  vt.经历，经受，忍受
undergraduate  n.大学在校生
underline  vt.划线于…之下
underneath  ad.在下面，在底下
undertake  vt.从事；承担；保证
undo  vt.解开，打开；取消
undoubtedly  ad.无容置疑，肯定地
uneasy  a.心神不安的，忧虑的
unexpected  a.想不到的，意外的
uniform  a.一样的n.制服
union  n.联合；团结；协会
unique  a.唯一的，独一无二的
unit  n.单位；单元；部件
unite  vi.联合vt.使联合
unity  n.单一；统一；团结
universal  a.宇宙的；普遍的
unknown  a.不知道的；未知的

unless  conj.除非，如果不
unlike  a.不同的prep.不象…
unlikely  a.未必的，未必可能的
unload  vt.卸(货) vi.卸货
upper  a.上面的；地位较高的
upright  a.垂直的；正直的
upset  vt.弄翻，打翻，倾覆
up-to-date  a.直到最近的，现代的
upward  a.向上的，上升的
urban  a. 都市的,住在都市的
urge  vt.推进；催促n.冲动
urgent  a.紧急的；强求的
usage  n.使用，对待；惯用法
utility  n.效用，有用，实用
utilize  vt.利用
utmost  a.最远的n.极限
utter  a.完全的，彻底的
utter  vt.发出，说，讲
VVVVVVVV
vacant  a.空的；未被占用的
vacuum  n.真空；真空吸尘器
vague  a.模糊的，含糊的
vain  a.徒劳的；自负的
valid  a.有效的；正当的

value  n.价值；价格vt.评价
van  n.大篷车，运货车
vanish  vi.突然不见，消失
vapour  n.汽，蒸气
variable  a.易变的n.变量
variation  n.变化，变动；变异
variety  n.多样化；种类；变种
various  a.各种各样的，不同的
vary  vt.改变；使多样化
vast  a.巨大的；大量的
vehicle  n.车辆，机动车
velocity  n.速度，速率
venture  n.&vi.冒险vt.敢于
verify  vt.证实，查证；证明
version  n.译文；说法；改写本
vertical  a.垂直的，竖式的
vessel  n.容器；船，飞船；管
veteran  n.老兵，老手
via  prep.经过；通过
vibrate  vt.使颤动vi.颤动
vice  n.罪恶；恶习；缺点
vice  n.(老)虎钳
vigorous  a.朝气蓬勃的
vinegar  n.醋

violent  a.猛烈的；狂暴的
violet  n.紫罗兰
virtually  ad.实际上，事实上
virtue  n.善；美德；优点
visible  a.可见的，看得见的
vision  n.视；想象力；梦幻
visual  a.看的；看得见的
vital  a.生命的；有生命力的
vitamin  n.维生素，维他命
vivid  a.鲜艳的；生动的
volcano  n.火山
volt  n.伏特，伏
voltage  n.电压
volume  n.卷，册；容积；音量
voluntary  a.自愿的，志愿的
voyage  n.&vi.航海，航空字
WWWWWWWWW
wage  vt.开展(运动)
waggon  n.四轮运货马车
waken  vi.醒来vt.弄醒
wander  vi.漫游；迷路；离题
want  n.需要；缺乏
warmth  n.暖和，温暖；热烈
water  n.水vt.使湿，灌溉

waterproof  a.不透水的，防水的
wave  n.波；波涛vi.波动
wax  n.蜡，蜂蜡
weaken  vt.削弱vi.变弱
weakness  n.虚弱，软弱；弱点
wear  vt.磨损
weave  vt.织，编vi.纺织
weed  n.杂草，野草vi.除草
weep  vi.哭泣，流泪
weld  vt.&n.焊接，熔接
welfare  n.幸福，福利
wheat  n.小麦
wheel  n.轮，车轮
whilst  conj.&n.当…的时候
whip  vt.鞭笞；搅打n.鞭子
whisper  vt.低声地讲vi.低语
whistle  n.口哨vi.吹口哨
wholly  ad.完全地，全部
wicked  a.坏的；令人厌恶的
widen  vt.加宽vi.变宽
widow  n.寡妇
width  n.宽阔，广阔；宽度
willing  a.愿意的，心甘情愿的
wind  vt.绕，缠绕vi.卷曲

wing  n.翼，翅膀，翅
wire  n.金属线；电缆；电信
wit  n.智力，才智，智能
withdraw  vt.收回；撤回vi.撤退
withstand  vt.抵挡，反抗
witness  n.证据；证人vt.目击
wooden  a.木制的；呆板的
wool  n.羊毛；毛线，绒线
workman  n.工人，劳动者，工匠
workshop  n.车间，工场；创作室
world-wide  a.遍及全球的
worm  n.虫，蠕虫
worship  n.礼拜；崇拜vt.崇拜
worst  a.最坏的ad.最坏地
worth  a.值…的n.价值
worthless  a.无价值的，无用的
worthwhile  a.值得花时间的
worthy  a.有价值的；值得的
wound  n.创伤，伤vt.使受伤
wrap  vt.裹，包，捆n.披肩
wreck  n.失事；残骸vt.破坏
wrist  n.腕，腕关节
X-ray  n.X 射线，X 光
yard  n.院子，庭院；场地

yard  n.码
yawn  vi.打呵欠n.呵欠
yearly  a.每年的ad.一年一度
yield  vt.&vi.出产n.产量
youth  n.青春；青年们；青年
zone  n.地区，区域，范围__
